<doc id="bv_doc_id__9" attrs="word lemma type">
Zweite	bv_doc_id__9_d57e407
Fassung	bv_doc_id__9_d57e409
<g/>
.	
Vorentwurf	bv_doc_id__9_d57e416
einer	bv_doc_id__9_d57e418
Bundesstaatsverfassung	bv_doc_id__9_d57e420
<g/>
.	
Kraft	bv_doc_id__9_d57e429
des	bv_doc_id__9_d57e431
Selbstbestimmungsrechtes	bv_doc_id__9_d57e433
des	bv_doc_id__9_d57e435
deutschen	bv_doc_id__9_d57e437
Volkes	bv_doc_id__9_d57e440
und	bv_doc_id__9_d57e442
seiner	bv_doc_id__9_d57e444
geschichtlich	bv_doc_id__9_d57e446
gewordenen	bv_doc_id__9_d57e448
Glieder	bv_doc_id__9_d57e450
und	bv_doc_id__9_d57e453
mit	bv_doc_id__9_d57e455
feierlicher	bv_doc_id__9_d57e457
Verwahrung	bv_doc_id__9_d57e459
gegen	bv_doc_id__9_d57e461
jede	bv_doc_id__9_d57e463
zeitliche	bv_doc_id__9_d57e466
Schranke	bv_doc_id__9_d57e468
<g/>
,	
die	bv_doc_id__9_d57e472
der	bv_doc_id__9_d57e474
Ausübung	bv_doc_id__9_d57e476
dieses	bv_doc_id__9_d57e479
unveräußerlichen	bv_doc_id__9_d57e481
Rechtes	bv_doc_id__9_d57e483
gesetzt	bv_doc_id__9_d57e485
ist	bv_doc_id__9_d57e487
<g/>
,	
vereinigen	bv_doc_id__9_d57e492
sich	bv_doc_id__9_d57e494
die	bv_doc_id__9_d57e496
selbständigen	bv_doc_id__9_d57e498
Länder	bv_doc_id__9_d57e500
der	bv_doc_id__9_d57e502
Republik	bv_doc_id__9_d57e505
Österreich	bv_doc_id__9_d57e507
zu	bv_doc_id__9_d57e509
einem	bv_doc_id__9_d57e511
freien	bv_doc_id__9_d57e513
Bundesstaat	bv_doc_id__9_d57e515
unter	bv_doc_id__9_d57e518
dieser	bv_doc_id__9_d57e520
Verfassung	bv_doc_id__9_d57e522
<g/>
:	
Erster	bv_doc_id__9_d57e532
Abschnitt	bv_doc_id__9_d57e534
<g/>
.	
Allgemeine	bv_doc_id__9_d57e541
Bestimmungen	bv_doc_id__9_d57e543
<g/>
.	
Artikel	bv_doc_id__9_d57e552
1.	bv_doc_id__9_d57e554
<g/>
(	
1	bv_doc_id__9_d57e563
<g/>
)	
Österreich	bv_doc_id__9_d57e568
ist	bv_doc_id__9_d57e570
eine	bv_doc_id__9_d57e572
demokratische	bv_doc_id__9_d57e574
Republik	bv_doc_id__9_d57e577
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e588
<g/>
)	
Alle	bv_doc_id__9_d57e593
öffentlichen	bv_doc_id__9_d57e595
Gewalten	bv_doc_id__9_d57e597
werden	bv_doc_id__9_d57e599
vom	bv_doc_id__9_d57e602
Volke	bv_doc_id__9_d57e604
eingesetzt	bv_doc_id__9_d57e606
und	bv_doc_id__9_d57e608
in	bv_doc_id__9_d57e610
seinem	bv_doc_id__9_d57e612
Namen	bv_doc_id__9_d57e615
ausgeübt	bv_doc_id__9_d57e617
<g/>
.	
Artikel	bv_doc_id__9_d57e627
2.	bv_doc_id__9_d57e629
<g/>
(	
1	bv_doc_id__9_d57e638
<g/>
)	
Das	bv_doc_id__9_d57e643
Bundesgebiet	bv_doc_id__9_d57e645
umfaßt	bv_doc_id__9_d57e647
die	bv_doc_id__9_d57e649
Gebiete	bv_doc_id__9_d57e652
der	bv_doc_id__9_d57e654
selbständigen	bv_doc_id__9_d57e656
Länder	bv_doc_id__9_d57e658
Burgenland	bv_doc_id__9_d57e660
<g/>
,	
Kärnten	bv_doc_id__9_d57e665
<g/>
,	
Niederösterreich	bv_doc_id__9_d57e669
<g/>
,	
Oberösterreich	bv_doc_id__9_d57e673
<g/>
,	
Salzburg	bv_doc_id__9_d57e678
<g/>
,	
Steiermark	bv_doc_id__9_d57e682
<g/>
,	
Tirol	bv_doc_id__9_d57e686
<g/>
,	
Vorarlberg	bv_doc_id__9_d57e691
und	bv_doc_id__9_d57e693
der	bv_doc_id__9_d57e695
Bundeshauptstadt	bv_doc_id__9_d57e697
Wien	bv_doc_id__9_d57e699
<g/>
,	
welche	bv_doc_id__9_d57e704
die	bv_doc_id__9_d57e706
Stellung	bv_doc_id__9_d57e708
eines	bv_doc_id__9_d57e710
selbständigen	bv_doc_id__9_d57e712
Landes	bv_doc_id__9_d57e714
hat	bv_doc_id__9_d57e717
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e728
<g/>
)	
Das	bv_doc_id__9_d57e733
Bundesgebiet	bv_doc_id__9_d57e735
bildet	bv_doc_id__9_d57e737
ein	bv_doc_id__9_d57e739
einheitliches	bv_doc_id__9_d57e742
Währungs-	bv_doc_id__9_d57e744
<g/>
,	
Wirtschafts-	bv_doc_id__9_d57e748
und	bv_doc_id__9_d57e750
Zollgebiet	bv_doc_id__9_d57e752
<g/>
.	
Artikel	bv_doc_id__9_d57e763
3.	bv_doc_id__9_d57e765
<g/>
(	
1	bv_doc_id__9_d57e774
<g/>
)	
Das	bv_doc_id__9_d57e779
gesamte	bv_doc_id__9_d57e781
Bundesgebiet	bv_doc_id__9_d57e783
steht	bv_doc_id__9_d57e785
im	bv_doc_id__9_d57e788
Verhältnis	bv_doc_id__9_d57e790
nach	bv_doc_id__9_d57e792
außen	bv_doc_id__9_d57e794
und	bv_doc_id__9_d57e796
im	bv_doc_id__9_d57e798
Verhaltnis	bv_doc_id__9_d57e801
der	bv_doc_id__9_d57e803
Länder	bv_doc_id__9_d57e805
zueinander	bv_doc_id__9_d57e807
unter	bv_doc_id__9_d57e809
dem	bv_doc_id__9_d57e811
Schutze	bv_doc_id__9_d57e814
des	bv_doc_id__9_d57e816
Bundes	bv_doc_id__9_d57e818
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e831
<g/>
)	
Eine	bv_doc_id__9_d57e836
Änderung	bv_doc_id__9_d57e838
des	bv_doc_id__9_d57e840
Bundesgebietes	bv_doc_id__9_d57e842
<g/>
,	
die	bv_doc_id__9_d57e847
zugleich	bv_doc_id__9_d57e849
eine	bv_doc_id__9_d57e851
Änderung	bv_doc_id__9_d57e853
eines	bv_doc_id__9_d57e855
Landesgebietes	bv_doc_id__9_d57e858
ist	bv_doc_id__9_d57e860
<g/>
,	
ebenso	bv_doc_id__9_d57e864
die	bv_doc_id__9_d57e866
Änderung	bv_doc_id__9_d57e868
einer	bv_doc_id__9_d57e871
Landesgrenze	bv_doc_id__9_d57e873
innerhalb	bv_doc_id__9_d57e875
des	bv_doc_id__9_d57e877
Bundesgebietes	bv_doc_id__9_d57e879
kann	bv_doc_id__9_d57e881
<g/>
-	
abgesehen	bv_doc_id__9_d57e886
von	bv_doc_id__9_d57e888
