<doc id="bv_doc_id__68" attrs="word lemma type">
Vorentwurf	bv_doc_id__68_d52e312
einer	bv_doc_id__68_d52e317
österreichischen	bv_doc_id__68_d52e319
Verfassung	bv_doc_id__68_d52e321
unter	bv_doc_id__68_d52e326
Mitwirkung	bv_doc_id__68_d52e328
von	bv_doc_id__68_d52e330
Mitgliedern	bv_doc_id__68_d52e332
der	bv_doc_id__68_d52e334
Großdeutschen	bv_doc_id__68_d52e337
Vereinigung	bv_doc_id__68_d52e339
ausgearbeitet	bv_doc_id__68_d52e344
von	bv_doc_id__68_d52e346
Mitgliedern	bv_doc_id__68_d52e348
der	bv_doc_id__68_d52e350
Deutschen	bv_doc_id__68_d52e352
Freiheits-	bv_doc_id__68_d52e355
und	bv_doc_id__68_d52e357
Ordnungspartei	bv_doc_id__68_d52e362
in	bv_doc_id__68_d52e364
Oberösterreich	bv_doc_id__68_d52e366
und	bv_doc_id__68_d52e368
von	bv_doc_id__68_d52e370
Mitgliedern	bv_doc_id__68_d52e373
der	bv_doc_id__68_d52e375
Nationaldemokratischen	bv_doc_id__68_d52e381
Partei	bv_doc_id__68_d52e383
<g/>
.	
Unter	bv_doc_id__68_d52e388
dem	bv_doc_id__68_d52e390
Zwange	bv_doc_id__68_d52e392
des	bv_doc_id__68_d52e394
Vertrages	bv_doc_id__68_d52e396
von	bv_doc_id__68_d52e399
St	bv_doc_id__68_d52e401
<g/>
.	
Germain	bv_doc_id__68_d52e405
<g/>
,	
der	bv_doc_id__68_d52e409
den	bv_doc_id__68_d52e412
Anschluß	bv_doc_id__68_d52e414
an	bv_doc_id__68_d52e416
das	bv_doc_id__68_d52e418
Deutsche	bv_doc_id__68_d52e420
Reich	bv_doc_id__68_d52e422
derzeit	bv_doc_id__68_d52e425
verwehrt	bv_doc_id__68_d52e427
<g/>
,	
in	bv_doc_id__68_d52e431
dem	bv_doc_id__68_d52e433
Bestreben	bv_doc_id__68_d52e435
<g/>
,	
dem	bv_doc_id__68_d52e440
bedrängten	bv_doc_id__68_d52e442
Volke	bv_doc_id__68_d52e444
des	bv_doc_id__68_d52e446
deutschen	bv_doc_id__68_d52e448
Alpenlandes	bv_doc_id__68_d52e451
den	bv_doc_id__68_d52e453
Aufstieg	bv_doc_id__68_d52e455
zu	bv_doc_id__68_d52e457
ermöglichen	bv_doc_id__68_d52e459
<g/>
,	
schließen	bv_doc_id__68_d52e464
sich	bv_doc_id__68_d52e466
die	bv_doc_id__68_d52e468
geschichtlich	bv_doc_id__68_d52e470
gewordenen	bv_doc_id__68_d52e472
selbständigen	bv_doc_id__68_d52e474
Länder	bv_doc_id__68_d52e477
Niederösterreich	bv_doc_id__68_d52e479
<g/>
,	
OberösterReich	bv_doc_id__68_d52e483
<g/>
,	
Salzburg	bv_doc_id__68_d52e487
<g/>
,	
Steiermark	bv_doc_id__68_d52e492
<g/>
,	
Kärnten	bv_doc_id__68_d52e496
<g/>
,	
Tirol	bv_doc_id__68_d52e500
und	bv_doc_id__68_d52e503
Vorarlberg	bv_doc_id__68_d52e505
zu	bv_doc_id__68_d52e507
einem	bv_doc_id__68_d52e509
Bundesstaat	bv_doc_id__68_d52e511
zusammen	bv_doc_id__68_d52e513
und	bv_doc_id__68_d52e516
geben	bv_doc_id__68_d52e518
sich	bv_doc_id__68_d52e520
nachstehende	bv_doc_id__68_d52e522
Verfassung	bv_doc_id__68_d52e524
l	bv_doc_id__68_d52e528
<g/>
.	
Hauptteil	bv_doc_id__68_d52e532
<g/>
.	
Aufbau	bv_doc_id__68_d52e540
und	bv_doc_id__68_d52e542
Aufgaben	bv_doc_id__68_d52e544
des	bv_doc_id__68_d52e546
Staates	bv_doc_id__68_d52e548
<g/>
.	
Art.	bv_doc_id__68_d52e559
1	bv_doc_id__68_d52e561
Demokratische	bv_doc_id__68_d52e568
Republik	bv_doc_id__68_d52e570
<g/>
.	
Österreich	bv_doc_id__68_d52e575
ist	bv_doc_id__68_d52e577
eine	bv_doc_id__68_d52e579
demokratische	bv_doc_id__68_d52e581
Republik	bv_doc_id__68_d52e584
<g/>
;	
alle	bv_doc_id__68_d52e588
Gewalt	bv_doc_id__68_d52e590
im	bv_doc_id__68_d52e592
Staate	bv_doc_id__68_d52e594
geht	bv_doc_id__68_d52e597
vom	bv_doc_id__68_d52e599
Volke	bv_doc_id__68_d52e601
aus	bv_doc_id__68_d52e603
<g/>
.	
Jeder	bv_doc_id__68_d52e607
Staatsbürger	bv_doc_id__68_d52e610
hat	bv_doc_id__68_d52e612
Anteil	bv_doc_id__68_d52e614
an	bv_doc_id__68_d52e616
der	bv_doc_id__68_d52e618
wirtschaftlichen	bv_doc_id__68_d52e620
und	bv_doc_id__68_d52e623
politischen	bv_doc_id__68_d52e625
Macht	bv_doc_id__68_d52e627
der	bv_doc_id__68_d52e629
Gesamtheit	bv_doc_id__68_d52e631
<g/>
.	
Sicherung	bv_doc_id__68_d52e636
und	bv_doc_id__68_d52e638
Förderung	bv_doc_id__68_d52e640
der	bv_doc_id__68_d52e642
Gesamtheit	bv_doc_id__68_d52e644
und	bv_doc_id__68_d52e646
des	bv_doc_id__68_d52e649
einzelnen	bv_doc_id__68_d52e651
ist	bv_doc_id__68_d52e653
der	bv_doc_id__68_d52e655
Zweck	bv_doc_id__68_d52e657
des	bv_doc_id__68_d52e659
Staates	bv_doc_id__68_d52e662
<g/>
.	
Art.	bv_doc_id__68_d52e672
2.	bv_doc_id__68_d52e674
Bundesstaat	bv_doc_id__68_d52e681
<g/>
.	
Österreich	bv_doc_id__68_d52e686
ist	bv_doc_id__68_d52e688
ein	bv_doc_id__68_d52e690
Bundesstaat	bv_doc_id__68_d52e692
<g/>
,	
gebildet	bv_doc_id__68_d52e697
aus	bv_doc_id__68_d52e699
den	bv_doc_id__68_d52e701
selbständigen	bv_doc_id__68_d52e703
Ländern	bv_doc_id__68_d52e705
Niederösterreich	bv_doc_id__68_d52e708
<g/>
,	
Oberösterveich	bv_doc_id__68_d52e712
<g/>
,	
Salzburg	bv_doc_id__68_d52e716
<g/>
,	
Steiermark	bv_doc_id__68_d52e721
<g/>
,	
Kärnten	bv_doc_id__68_d52e725
<g/>
,	
Tirol	bv_doc_id__68_d52e729
und	bv_doc_id__68_d52e731
Vorarlberg	bv_doc_id__68_d52e734
<g/>
.	
Sobald	bv_doc_id__68_d52e738
die	bv_doc_id__68_d52e740
Stadt	bv_doc_id__68_d52e742
Wien	bv_doc_id__68_d52e744
aus	bv_doc_id__68_d52e747
dem	bv_doc_id__68_d52e749
