<doc id="bv_doc_id__69" attrs="word lemma type">
Deutscher	bv_doc_id__69_d53e299
Volksbund	bv_doc_id__69_d53e301
für	bv_doc_id__69_d53e303
Oberösterreich	bv_doc_id__69_d53e305
<g/>
.	
Entwurf	bv_doc_id__69_d53e312
einer	bv_doc_id__69_d53e317
österreichischen	bv_doc_id__69_d53e319
Verfassung	bv_doc_id__69_d53e321
<g/>
.	
l	bv_doc_id__69_d53e328
<g/>
.	
Hauptteil	bv_doc_id__69_d53e332
<g/>
.	
Aufbau	bv_doc_id__69_d53e339
und	bv_doc_id__69_d53e341
Aufgaben	bv_doc_id__69_d53e343
des	bv_doc_id__69_d53e345
Staates	bv_doc_id__69_d53e347
<g/>
.	
Art.	bv_doc_id__69_d53e358
1	bv_doc_id__69_d53e360
Demokratische	bv_doc_id__69_d53e367
Republik	bv_doc_id__69_d53e369
<g/>
.	
Österreich	bv_doc_id__69_d53e374
ist	bv_doc_id__69_d53e376
eine	bv_doc_id__69_d53e378
demokratische	bv_doc_id__69_d53e380
Republik	bv_doc_id__69_d53e383
<g/>
;	
alle	bv_doc_id__69_d53e387
Gewalt	bv_doc_id__69_d53e389
im	bv_doc_id__69_d53e391
Staate	bv_doc_id__69_d53e393
geht	bv_doc_id__69_d53e396
vom	bv_doc_id__69_d53e398
Volke	bv_doc_id__69_d53e400
aus	bv_doc_id__69_d53e402
<g/>
.	
Jeder	bv_doc_id__69_d53e406
Staatsbürger	bv_doc_id__69_d53e409
hat	bv_doc_id__69_d53e411
Anteil	bv_doc_id__69_d53e413
an	bv_doc_id__69_d53e415
der	bv_doc_id__69_d53e417
wirtschaftlichen	bv_doc_id__69_d53e419
und	bv_doc_id__69_d53e422
politischen	bv_doc_id__69_d53e424
Macht	bv_doc_id__69_d53e426
der	bv_doc_id__69_d53e428
Gesamtheit	bv_doc_id__69_d53e430
<g/>
.	
Sicherung	bv_doc_id__69_d53e435
und	bv_doc_id__69_d53e437
Förderung	bv_doc_id__69_d53e439
der	bv_doc_id__69_d53e441
Gesamtheit	bv_doc_id__69_d53e443
und	bv_doc_id__69_d53e445
des	bv_doc_id__69_d53e448
einzelnen	bv_doc_id__69_d53e450
