<doc id="bv_doc_id__46" attrs="word lemma type">
erovototl	bv_doc_id__46_d35e307
der	bv_doc_id__46_d35e309
11.	bv_doc_id__46_d35e311
Titzung	bv_doc_id__46_d35e313
des	bv_doc_id__46_d35e315
Untsrausscausses	bv_doc_id__46_d35e318
des	bv_doc_id__46_d35e320
Verfassungsausschussss	bv_doc_id__46_d35e322
vom	bv_doc_id__46_d35e324
28.August	bv_doc_id__46_d35e326
1920.	bv_doc_id__46_d35e328
Beginn	bv_doc_id__46_d35e331
10	bv_doc_id__46_d35e333
Uhr	bv_doc_id__46_d35e335
voraittags	bv_doc_id__46_d35e337
<g/>
.	
Anresend	bv_doc_id__46_d35e341
<g/>
.	
tr	bv_doc_id__46_d35e346
<g/>
.	
Otto	bv_doc_id__46_d35e350
Bauer	bv_doc_id__46_d35e352
als	bv_doc_id__46_d35e354
Voreitzender	bv_doc_id__46_d35e357
sinenAbrae	bv_doc_id__46_d35e359
Dr	bv_doc_id__46_d35e361
<g/>
.	
Josef	bv_doc_id__46_d35e365
Aigner	bv_doc_id__46_d35e367
Heinrich	bv_doc_id__46_d35e370
olessin	bv_doc_id__46_d35e372
Dr	bv_doc_id__46_d35e374
<g/>
.	
Robert	bv_doc_id__46_d35e378
Badieberg	bv_doc_id__46_d35e380
Jodok	bv_doc_id__46_d35e383
Fiak	bv_doc_id__46_d35e385
Dr	bv_doc_id__46_d35e387
<g/>
.	
Igaar	bv_doc_id__46_d35e391
Selgel	bv_doc_id__46_d35e393
Sreatsoekrster	bv_doc_id__46_d35e396
Prof	bv_doc_id__46_d35e398
<g/>
.	
Dr	bv_doc_id__46_d35e402
<g/>
.	
Nichsel	bv_doc_id__46_d35e406
Kasr	bv_doc_id__46_d35e409
Von	bv_doc_id__46_d35e411
der	bv_doc_id__46_d35e413
Staatskanzleiwinistsrichtet	bv_doc_id__46_d35e415
tr	bv_doc_id__46_d35e417
<g/>
.	
GeorgPrachllen	bv_doc_id__46_d35e422
settlonsrat	bv_doc_id__46_d35e424
Dr	bv_doc_id__46_d35e426
<g/>
.	
Augo	bv_doc_id__46_d35e430
JdcEl	bv_doc_id__46_d35e432
ssktlonsrat	bv_doc_id__46_d35e435
Dr	bv_doc_id__46_d35e437
<g/>
.	
Egbert	bv_doc_id__46_d35e441
Manaliok	bv_doc_id__46_d35e443
Uintsterialpiosskreter	bv_doc_id__46_d35e445
Fr	bv_doc_id__46_d35e448
<g/>
.	
Furt	bv_doc_id__46_d35e452
Pris	bv_doc_id__46_d35e454
80	bv_doc_id__46_d35e456
eis	bv_doc_id__46_d35e458
Schristführer	bv_doc_id__46_d35e461
Prof	bv_doc_id__46_d35e463
<g/>
.	
Tr	bv_doc_id__46_d35e467
<g/>
.	
Hans	bv_doc_id__46_d35e471
Ke	bv_doc_id__46_d35e474
l4sn	bv_doc_id__46_d35e476
als	bv_doc_id__46_d35e478
Ehjerts	bv_doc_id__46_d35e480
des	bv_doc_id__46_d35e482
VerfassungsAsschussss	bv_doc_id__46_d35e484
2.	bv_doc_id__46_d35e489
Der	bv_doc_id__46_d35e494
Versitzende	bv_doc_id__46_d35e496
gröffnst	bv_doc_id__46_d35e498
dis	bv_doc_id__46_d35e500
Verhandlungen	bv_doc_id__46_d35e502
mit	bv_doc_id__46_d35e505
einer	bv_doc_id__46_d35e507
Besprachung	bv_doc_id__46_d35e509
von	bv_doc_id__46_d35e511
Braultsringen	bv_doc_id__46_d35e513
<g/>
,	
die	bv_doc_id__46_d35e518
die	bv_doc_id__46_d35e520
Stantskanzlet	bv_doc_id__46_d35e522
vorgelegt	bv_doc_id__46_d35e524
hat	bv_doc_id__46_d35e526
<g/>
.	
In	bv_doc_id__46_d35e531
einen	bv_doc_id__46_d35e533
Artikel	bv_doc_id__46_d35e535
über	bv_doc_id__46_d35e537
die	bv_doc_id__46_d35e539
Volkebeauftragten	bv_doc_id__46_d35e541
wird	bv_doc_id__46_d35e544
über	bv_doc_id__46_d35e546
seinen	bv_doc_id__46_d35e548
Antrag	bv_doc_id__46_d35e550
eine	bv_doc_id__46_d35e552
taxative	bv_doc_id__46_d35e554
Aufzählung	bv_doc_id__46_d35e557
dieser	bv_doc_id__46_d35e559
Funktlonäre	bv_doc_id__46_d35e561
eingeschaltet	bv_doc_id__46_d35e563
um	bv_doc_id__46_d35e565
ihre	bv_doc_id__46_d35e567
Bezeichnung	bv_doc_id__46_d35e570
zu	bv_doc_id__46_d35e572
erklären	bv_doc_id__46_d35e574
<g/>
.	
Der	bv_doc_id__46_d35e578
Artikel	bv_doc_id__46_d35e580
erhalt	bv_doc_id__46_d35e583
bisrauf	bv_doc_id__46_d35e585
folgenden	bv_doc_id__46_d35e587
Nortlarte	bv_doc_id__46_d35e589
1r7.113	bv_doc_id__46_d35e591
<g/>
(	
2	bv_doc_id__46_d35e596
<g/>
)	
Mit	bv_doc_id__46_d35e600
der	bv_doc_id__46_d35e602
Zeitung	bv_doc_id__46_d35e604
der	bv_doc_id__46_d35e606
vollziehenden	bv_doc_id__46_d35e609
Gemit	bv_doc_id__46_d35e611
den	bv_doc_id__46_d35e613
Bundee	bv_doc_id__46_d35e615
und	bv_doc_id__46_d35e617
der	bv_doc_id__46_d35e619
Länder	bv_doc_id__46_d35e622
sind	bv_doc_id__46_d35e624
Volksbeauftfagte	bv_doc_id__46_d35e626
betraut	bv_doc_id__46_d35e628
<g/>
,	
die	bv_doc_id__46_d35e632
von	bv_doc_id__46_d35e635
