<doc id="bv_doc_id__52" attrs="word lemma type">
4277	bv_doc_id__52_d41e261
Prorokoll	bv_doc_id__52_d41e266
der	bv_doc_id__52_d41e268
17.	bv_doc_id__52_d41e270
Sitzung	bv_doc_id__52_d41e272
des	bv_doc_id__52_d41e274
Unterausschusses	bv_doc_id__52_d41e277
des	bv_doc_id__52_d41e279
Verfasgungsaugschusses	bv_doc_id__52_d41e281
vom	bv_doc_id__52_d41e283
22.	bv_doc_id__52_d41e285
September	bv_doc_id__52_d41e287
1530.	bv_doc_id__52_d41e290
Begina	bv_doc_id__52_d41e292
3	bv_doc_id__52_d41e294
Uhr	bv_doc_id__52_d41e296
Nachmittag	bv_doc_id__52_d41e298
<g/>
.	
aameseni	bv_doc_id__52_d41e303
<g/>
:	
Dr	bv_doc_id__52_d41e307
<g/>
.	
Otto	bv_doc_id__52_d41e311
Bauer	bv_doc_id__52_d41e313
als	bv_doc_id__52_d41e316
Vorsitzender	bv_doc_id__52_d41e318
Dr	bv_doc_id__52_d41e320
<g/>
.	
Jodef	bv_doc_id__52_d41e324
Aiguer	bv_doc_id__52_d41e326
Or	bv_doc_id__52_d41e329
<g/>
.	
Heinrich	bv_doc_id__52_d41e333
6lessln	bv_doc_id__52_d41e335
<g/>
.	
Dr	bv_doc_id__52_d41e339
<g/>
.	
Robert	bv_doc_id__52_d41e344
Danneberg	bv_doc_id__52_d41e346
Jodck	bv_doc_id__52_d41e348
Fink	bv_doc_id__52_d41e350
Leopold	bv_doc_id__52_d41e352
Kuxschak	bv_doc_id__52_d41e355
Professor	bv_doc_id__52_d41e357
Dr	bv_doc_id__52_d41e359
<g/>
.	
Ignaz	bv_doc_id__52_d41e363
Geipel	bv_doc_id__52_d41e365
Präsldeat	bv_doc_id__52_d41e368
Karl	bv_doc_id__52_d41e370
seitStaatssekretär	bv_doc_id__52_d41e372
Professor	bv_doc_id__52_d41e374
Dr	bv_doc_id__52_d41e376
<g/>
.	
Michael	bv_doc_id__52_d41e381
Wayx	bv_doc_id__52_d41e383
Unterstaatssekretär	bv_doc_id__52_d41e385
Otto	bv_doc_id__52_d41e387
Glöckel	bv_doc_id__52_d41e389
Tr	bv_doc_id__52_d41e391
<g/>
.	
Wilheim	bv_doc_id__52_d41e396
Elleabogen	bv_doc_id__52_d41e398
Professor	bv_doc_id__52_d41e400
Dr	bv_doc_id__52_d41e402
<g/>
.	
