<doc id="bv_doc_id__50" attrs="word lemma type">
Protokollder	bv_doc_id__50_d39e271
15.	bv_doc_id__50_d39e273
Sitzung	bv_doc_id__50_d39e275
des	bv_doc_id__50_d39e277
Unterausschusses	bv_doc_id__50_d39e279
des	bv_doc_id__50_d39e282
Verfassungsausschusses	bv_doc_id__50_d39e284
vom	bv_doc_id__50_d39e286
14.IK.1920.	bv_doc_id__50_d39e288
Beginn	bv_doc_id__50_d39e290
10	bv_doc_id__50_d39e292
Uhr	bv_doc_id__50_d39e295
Vormittag	bv_doc_id__50_d39e297
<g/>
.	
annesona	bv_doc_id__50_d39e301
<g/>
:	
Dr	bv_doc_id__50_d39e305
<g/>
.	
Otto	bv_doc_id__50_d39e310
Bauer	bv_doc_id__50_d39e312
als	bv_doc_id__50_d39e314
Vorsitzender	bv_doc_id__50_d39e316
Präsident	bv_doc_id__50_d39e318
Karl	bv_doc_id__50_d39e321
seitz	bv_doc_id__50_d39e323
Dr	bv_doc_id__50_d39e325
<g/>
.	
Josef	bv_doc_id__50_d39e329
Aigner	bv_doc_id__50_d39e331
Heinrich	bv_doc_id__50_d39e334
Cleesin	bv_doc_id__50_d39e336
Dr	bv_doc_id__50_d39e338
<g/>
.	
Robert	bv_doc_id__50_d39e342
Dannebers	bv_doc_id__50_d39e344
Michael	bv_doc_id__50_d39e347
Eldersch	bv_doc_id__50_d39e349
Jodok	bv_doc_id__50_d39e351
Fink	bv_doc_id__50_d39e353
Karl	bv_doc_id__50_d39e355
Leuthner	bv_doc_id__50_d39e357
Prof	bv_doc_id__50_d39e360
<g/>
.	
Dr	bv_doc_id__50_d39e364
<g/>
.	
Igaaz	bv_doc_id__50_d39e368
Seipel	bv_doc_id__50_d39e370
Dr	bv_doc_id__50_d39e373
<g/>
.	
Richard	bv_doc_id__50_d39e377
Weiskirchner	bv_doc_id__50_d39e379
Staatssekretär	bv_doc_id__50_d39e381
Prof	bv_doc_id__50_d39e383
<g/>
.	
Dr	bv_doc_id__50_d39e388
<g/>
.	
Micheel	bv_doc_id__50_d39e392
Mayr	bv_doc_id__50_d39e394
<g/>
.	
Von	bv_doc_id__50_d39e399
der	bv_doc_id__50_d39e401
Staatskanzlei	bv_doc_id__50_d39e403
<g/>
:	
Ministerialrat	bv_doc_id__50_d39e407
Dr	bv_doc_id__50_d39e409
<g/>
.	
Georg	bv_doc_id__50_d39e414
Froehlich	bv_doc_id__50_d39e416
Sektionarat	bv_doc_id__50_d39e418
Dr	bv_doc_id__50_d39e420
<g/>
.	
Egbert	bv_doc_id__50_d39e425
Wannlicher	bv_doc_id__50_d39e427
Ministerialvizesekretär	bv_doc_id__50_d39e429
Dr	bv_doc_id__50_d39e431
<g/>
.	
Kurt	bv_doc_id__50_d39e435
Frieberger	bv_doc_id__50_d39e438
els	bv_doc_id__50_d39e440
Schriftführer	bv_doc_id__50_d39e442
Prof	bv_doc_id__50_d39e444
<g/>
,	
Dr	bv_doc_id__50_d39e448
<g/>
.	
Hans	bv_doc_id__50_d39e453
kel	bv_doc_id__50_d39e455
se	bv_doc_id__50_d39e457
a	bv_doc_id__50_d39e459
als	bv_doc_id__50_d39e461
Experte	bv_doc_id__50_d39e464
des	bv_doc_id__50_d39e466
Verfassungsausschusses	bv_doc_id__50_d39e468
219	bv_doc_id__50_d39e470
2	bv_doc_id__50_d39e474
zu	bv_doc_id__50_d39e477
Beginn	bv_doc_id__50_d39e479
der	bv_doc_id__50_d39e481
Sitzung	bv_doc_id__50_d39e483
teilt	bv_doc_id__50_d39e485
der	bv_doc_id__50_d39e487
Varsitzende	bv_doc_id__50_d39e490
mit	bv_doc_id__50_d39e492
<g/>
,	
daß	bv_doc_id__50_d39e496
er	bv_doc_id__50_d39e498
eine	bv_doc_id__50_d39e500
große	bv_doc_id__50_d39e503
Anzahl	bv_doc_id__50_d39e505
Zuschriften	bv_doc_id__50_d39e507
von	bv_doc_id__50_d39e509
Gewsindevertretungen	bv_doc_id__50_d39e511
orhält	bv_doc_id__50_d39e513
<g/>
,	
die	bv_doc_id__50_d39e518
säntlich	bv_doc_id__50_d39e520
den	bv_doc_id__50_d39e522
Beschluß	bv_doc_id__50_d39e524
mitteilen	bv_doc_id__50_d39e526
es	bv_doc_id__50_d39e529
wolle	bv_doc_id__50_d39e531
ihnen	bv_doc_id__50_d39e533
in	bv_doc_id__50_d39e535
der	bv_doc_id__50_d39e537
neuen	bv_doc_id__50_d39e539
Verfassung	bv_doc_id__50_d39e542
das	bv_doc_id__50_d39e544
Recht	bv_doc_id__50_d39e546
gewahrt	bv_doc_id__50_d39e548
werden	bv_doc_id__50_d39e550
<g/>
,	
Steuern	bv_doc_id__50_d39e555
auszuschreiben	bv_doc_id__50_d39e557
und	bv_doc_id__50_d39e559
einzuheben	bv_doc_id__50_d39e561
<g/>
.	
Sie	bv_doc_id__50_d39e565
wünschen	bv_doc_id__50_d39e568
offenbar	bv_doc_id__50_d39e570
größere	bv_doc_id__50_d39e572
Uaabhängigkeit	bv_doc_id__50_d39e574
in	bv_doc_id__50_d39e576
der	bv_doc_id__50_d39e578
Steuereinhebung	bv_doc_id__50_d39e581
gegenüber	bv_doc_id__50_d39e583
den	bv_doc_id__50_d39e585
Ländern	bv_doc_id__50_d39e587
<g/>
,	
Ebense	bv_doc_id__50_d39e591
langen	bv_doc_id__50_d39e594
zahlreiche	bv_doc_id__50_d39e596
Zuschriften	bv_doc_id__50_d39e598
von	bv_doc_id__50_d39e600
Lehrerorganisationen	bv_doc_id__50_d39e602
