<doc id="bv_doc_id__30" attrs="word lemma type">
II	bv_doc_id__30_d21e395
mit	bv_doc_id__30_d21e400
Ersichtlichmachung	bv_doc_id__30_d21e402
der	bv_doc_id__30_d21e404
Ergebnisse	bv_doc_id__30_d21e406
der	bv_doc_id__30_d21e408
Linzer	bv_doc_id__30_d21e411
Länderkonferenz	bv_doc_id__30_d21e413
<g/>
.	
<g/>
/:	
Standpunkt	bv_doc_id__30_d21e419
der	bv_doc_id__30_d21e421
Christlichsozialen	bv_doc_id__30_d21e424
mit	bv_doc_id__30_d21e426
schwarzer	bv_doc_id__30_d21e428
<g/>
,	
Standpunkt	bv_doc_id__30_d21e432
der	bv_doc_id__30_d21e434
Sozialdemokraten	bv_doc_id__30_d21e437
mit	bv_doc_id__30_d21e439
roter	bv_doc_id__30_d21e441
Tinte	bv_doc_id__30_d21e443
angegeben	bv_doc_id__30_d21e445
<g/>
:/	
NB	bv_doc_id__30_d21e452
<g/>
.	
Berücksichtigt	bv_doc_id__30_d21e456
sind	bv_doc_id__30_d21e458
nur	bv_doc_id__30_d21e460
formulierte	bv_doc_id__30_d21e463
<g/>
,	
bzw	bv_doc_id__30_d21e467
<g/>
,	
zu	bv_doc_id__30_d21e471
bestimmten	bv_doc_id__30_d21e473
Artikeln	bv_doc_id__30_d21e476
abgegebene	bv_doc_id__30_d21e478
Erklärungen	bv_doc_id__30_d21e480
<g/>
.	
Zweite	bv_doc_id__30_d21e487
Fassung	bv_doc_id__30_d21e489
<g/>
.	
Vorentwurf	bv_doc_id__30_d21e493
einer	bv_doc_id__30_d21e495
Bundesstaatsverfassung	bv_doc_id__30_d21e498
Kraft	bv_doc_id__30_d21e500
des	bv_doc_id__30_d21e502
Selbstbestimmungsrechtes	bv_doc_id__30_d21e504
des	bv_doc_id__30_d21e506
deutschen	bv_doc_id__30_d21e508
Volkes	bv_doc_id__30_d21e511
und	bv_doc_id__30_d21e513
seiner	bv_doc_id__30_d21e515
geschichtlich	bv_doc_id__30_d21e517
gewordenen	bv_doc_id__30_d21e519
Glieder	bv_doc_id__30_d21e521
und	bv_doc_id__30_d21e524
mit	bv_doc_id__30_d21e526
feierlicher	bv_doc_id__30_d21e528
Verwahrung	bv_doc_id__30_d21e530
gegen	bv_doc_id__30_d21e532
jede	bv_doc_id__30_d21e534
zeitliche	bv_doc_id__30_d21e537
Schranke	bv_doc_id__30_d21e539
<g/>
,	
die	bv_doc_id__30_d21e543
der	bv_doc_id__30_d21e545
Ausübung	bv_doc_id__30_d21e547
dieses	bv_doc_id__30_d21e550
unveräußerlichen	bv_doc_id__30_d21e552
Rechtes	bv_doc_id__30_d21e554
gesetzt	bv_doc_id__30_d21e556
ist	bv_doc_id__30_d21e558
<g/>
,	
vereinigen	bv_doc_id__30_d21e563
sich	bv_doc_id__30_d21e565
die	bv_doc_id__30_d21e567
selbständigen	bv_doc_id__30_d21e569
Länder	bv_doc_id__30_d21e571
der	bv_doc_id__30_d21e573
Republik	bv_doc_id__30_d21e576
Österreich	bv_doc_id__30_d21e578
zu	bv_doc_id__30_d21e580
einem	bv_doc_id__30_d21e582
freien	bv_doc_id__30_d21e584
Bundesstaat	bv_doc_id__30_d21e586
unter	bv_doc_id__30_d21e589
dieser	bv_doc_id__30_d21e591
Verfassung	bv_doc_id__30_d21e593
<g/>
:	
Siehe	bv_doc_id__30_d21e601
die	bv_doc_id__30_d21e603
Seiten	bv_doc_id__30_d21e605
2	bv_doc_id__30_d21e607
bis	bv_doc_id__30_d21e609
7	bv_doc_id__30_d21e612
<g/>
,	
23	bv_doc_id__30_d21e616
bis	bv_doc_id__30_d21e618
25	bv_doc_id__30_d21e620
und	bv_doc_id__30_d21e622
35	bv_doc_id__30_d21e625
<g/>
!	
Erster	bv_doc_id__30_d21e632
Abschnitt	bv_doc_id__30_d21e634
<g/>
.	
Allgemeine	bv_doc_id__30_d21e638
Bestimmungen	bv_doc_id__30_d21e640
<g/>
.	
Artikel	bv_doc_id__30_d21e650
1.	bv_doc_id__30_d21e652
<g/>
(	
1	bv_doc_id__30_d21e661
<g/>
)	
Österreich	bv_doc_id__30_d21e666
ist	bv_doc_id__30_d21e668
eine	bv_doc_id__30_d21e670
demokratische	bv_doc_id__30_d21e672
Republik	bv_doc_id__30_d21e675
<g/>
.	
<g/>
(	
2	bv_doc_id__30_d21e686
<g/>
)	
Alle	bv_doc_id__30_d21e691
öffentlichen	bv_doc_id__30_d21e693
Gewalten	bv_doc_id__30_d21e695
werden	bv_doc_id__30_d21e697
vom	bv_doc_id__30_d21e700
Volke	bv_doc_id__30_d21e702
eingesetzt	bv_doc_id__30_d21e704
und	bv_doc_id__30_d21e706
in	bv_doc_id__30_d21e708
seinem	bv_doc_id__30_d21e710
Namen	bv_doc_id__30_d21e713
ausgeübt	bv_doc_id__30_d21e715
<g/>
.	
